year,province,industry_code,industry_name,legal_person_units,total_units,industry_share,unit,data_scope,source,source_file,source_type,confidence_flag,note
2005,全国,total,合计,5647823,5647823,1,个,全国年度分行业,截图《1-5 分地区按主要行业分法人单位数》,data/raw/official_statistics/legal_person_units_industry_year_image_transcription.csv,image_transcription,needs_review,从截图《1-5 分地区按主要行业分法人单位数》人工转录
2005,全国,agriculture_forestry_animal_fishing,农、林、牧、渔业,68800,5647823,0.01218168487,个,全国年度分行业,截图《1-5 分地区按主要行业分法人单位数》,data/raw/official_statistics/legal_person_units_industry_year_image_transcription.csv,image_transcription,needs_review,从截图《1-5 分地区按主要行业分法人单位数》人工转录
2005,全国,mining,采矿业,89430,5647823,0.01583441974,个,全国年度分行业,截图《1-5 分地区按主要行业分法人单位数》,data/raw/official_statistics/legal_person_units_industry_year_image_transcription.csv,image_transcription,needs_review,从截图《1-5 分地区按主要行业分法人单位数》人工转录
2005,全国,manufacturing,制造业,1451556,5647823,0.2570115954,个,全国年度分行业,截图《1-5 分地区按主要行业分法人单位数》,data/raw/official_statistics/legal_person_units_industry_year_image_transcription.csv,image_transcription,needs_review,从截图《1-5 分地区按主要行业分法人单位数》人工转录
2005,全国,electricity_heat_gas_water,电力、热力、燃气及水生产和供应业,43148,5647823,0.007639757832,个,全国年度分行业,截图《1-5 分地区按主要行业分法人单位数》,data/raw/official_statistics/legal_person_units_industry_year_image_transcription.csv,image_transcription,needs_review,从截图《1-5 分地区按主要行业分法人单位数》人工转录
2005,全国,construction,建筑业,149471,5647823,0.02646524156,个,全国年度分行业,截图《1-5 分地区按主要行业分法人单位数》,data/raw/official_statistics/legal_person_units_industry_year_image_transcription.csv,image_transcription,needs_review,从截图《1-5 分地区按主要行业分法人单位数》人工转录
2005,全国,wholesale_retail,批发和零售业,994953,5647823,0.1761657545,个,全国年度分行业,截图《1-5 分地区按主要行业分法人单位数》,data/raw/official_statistics/legal_person_units_industry_year_image_transcription.csv,image_transcription,needs_review,从截图《1-5 分地区按主要行业分法人单位数》人工转录
2005,全国,transport_storage_postal,交通运输、仓储和邮政业,91565,5647823,0.0162124415,个,全国年度分行业,截图《1-5 分地区按主要行业分法人单位数》,data/raw/official_statistics/legal_person_units_industry_year_image_transcription.csv,image_transcription,needs_review,从截图《1-5 分地区按主要行业分法人单位数》人工转录
2005,全国,accommodation_catering,住宿和餐饮业,101853,5647823,0.01803402833,个,全国年度分行业,截图《1-5 分地区按主要行业分法人单位数》,data/raw/official_statistics/legal_person_units_industry_year_image_transcription.csv,image_transcription,needs_review,从截图《1-5 分地区按主要行业分法人单位数》人工转录
2005,全国,information_software_it,信息传输、软件和信息技术服务业,85499,5647823,0.01513839934,个,全国年度分行业,截图《1-5 分地区按主要行业分法人单位数》,data/raw/official_statistics/legal_person_units_industry_year_image_transcription.csv,image_transcription,needs_review,从截图《1-5 分地区按主要行业分法人单位数》人工转录
2005,全国,finance,金融业,26828,5647823,0.004750148863,个,全国年度分行业,截图《1-5 分地区按主要行业分法人单位数》,data/raw/official_statistics/legal_person_units_industry_year_image_transcription.csv,image_transcription,needs_review,从截图《1-5 分地区按主要行业分法人单位数》人工转录
2005,全国,real_estate,房地产业,148059,5647823,0.02621523373,个,全国年度分行业,截图《1-5 分地区按主要行业分法人单位数》,data/raw/official_statistics/legal_person_units_industry_year_image_transcription.csv,image_transcription,needs_review,从截图《1-5 分地区按主要行业分法人单位数》人工转录
